﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7vAb6xya02LhN4YQh8X42w","Water","Ra Ra Riot, Rostam","Water","1","1","280333","spotify:user:abcportugal1988","2017-09-01T00:42:43Z"
"spotify:track:2IUyBbYUsOoyV7yaoxVodq","Wood","Rostam","Wood","1","1","342426","spotify:user:abcportugal1988","2017-09-01T00:47:10Z"
"spotify:track:2UYJqglnOMTvRcqQLNcjjf","Two Weeks","FKA twigs","LP1","1","3","247547","spotify:user:abcportugal1988","2017-09-01T01:31:48Z"
"spotify:track:2b4SSorCTQ2VzmllaeWuuT","YOU'RE THE ONE","KAYTRANADA, Syd","99.9%","1","11","227706","spotify:user:abcportugal1988","2017-09-01T01:42:29Z"
"spotify:track:0o1yupLwR1vjnEWbLPQqrO","No. 28","Methyl Ethel","Everything Is Forgotten","1","3","242026","spotify:user:abcportugal1988","2017-09-01T04:07:53Z"
"spotify:track:64NA4WUQqPzP801MTyirpD","Boyfriend (Repeat)","Confidence Man","Boyfriend (Repeat)","1","1","251520","spotify:user:abcportugal1988","2017-09-01T04:20:39Z"
"spotify:track:4eE6vZ2vOrceLq4xgz3VmG","Ya Hey","Vampire Weekend","Modern Vampires of the City","1","10","312653","spotify:user:abcportugal1988","2017-09-01T12:46:51Z"
"spotify:track:0cReiQLnbTaFfUajukjDBb","Alaska","Maggie Rogers","Now That The Light Is Fading","1","2","189400","spotify:user:abcportugal1988","2017-09-01T13:21:53Z"
"spotify:track:4j0fsZahdRzY9xlvqMTSb2","Queen Of Denmark","John Grant","Queen Of Denmark","1","12","288506","spotify:user:abcportugal1988","2017-09-03T00:53:45Z"
"spotify:track:3hxoYmSHzIBwSS2bPTOfbg","Misread","Kings of Convenience","Riot On An Empty Street","1","2","188400","spotify:user:abcportugal1988","2017-09-03T01:17:40Z"
"spotify:track:17eRjBLAI0PNlrJSqcGqdM","Cut Your Bangs","Girlpool","Chinatown","1","2","172988","spotify:user:abcportugal1988","2017-09-03T01:26:23Z"
"spotify:track:7kbztAghpLjcmBpH7Fp2Vj","Kin and Chrome","Sivu","Sweet Sweet Silent","1","3","234320","spotify:user:abcportugal1988","2017-09-03T12:58:40Z"
